1,10,10,1,flight K15,3,140,14000,8000
2,41,5,8,flight C37,2,220,16000,4200
3,25,5,6,flight R51,2,110,8000,2100
4,21,2,1,flight N72,1,55,4000,140
5,8,9,2,flight X13,3,280,28000,16000
6,29,4,1,flight F55,2,110,8000,2100
7,44,8,5,flight A10,3,280,28000,16000
8,10,9,3,flight J27,1,55,4000,140
9,13,3,9,flight J15,2,220,16000,4200
10,1,4,6,flight U92,2,110,8000,2100
11,49,7,4,flight J30,2,110,8000,2100
12,21,4,6,flight L98,2,220,16000,4200
13,13,3,1,flight P17,1,110,8000,280
14,22,1,3,flight N16,3,140,14000,8000
15,7,4,2,flight X71,3,1000139,14000,8000
16,24,8,3,flight S52,2,220,16000,4200
17,32,4,3,flight E30,2,220,16000,4200
18,4,9,5,flight M5,1,1000054,4000,140
19,45,1,8,flight R31,1,55,4000,140
20,49,9,8,flight Z86,3,140,14000,8000
21,35,2,8,flight Q45,2,110,8000,2100
22,49,8,1,flight K27,2,1000109,8000,2100
23,8,7,2,flight K62,2,220,16000,4200
24,33,8,2,flight X60,2,220,16000,4200
25,19,2,6,flight G57,2,110,8000,2100
26,31,7,9,flight Z87,2,220,16000,4200
27,46,10,5,flight A63,1,110,8000,280
28,8,6,9,flight P84,1,110,8000,280
29,6,4,7,flight N84,1,110,8000,280
30,47,7,3,flight O44,1,55,4000,140
31,21,7,4,flight S5,2,1000219,16000,4200
32,24,9,8,flight B46,2,220,16000,4200
33,14,8,10,flight T32,2,110,8000,2100
34,32,6,2,flight N97,1,110,8000,280
35,36,2,9,flight B64,3,280,28000,16000
36,35,6,3,flight N37,2,220,16000,4200
37,7,7,1,flight H78,1,55,4000,140
38,26,1,3,flight J14,2,220,16000,4200
39,8,5,2,flight M4,1,110,8000,280
40,10,9,8,flight J78,3,280,28000,16000
41,35,10,7,flight O11,2,110,8000,2100
42,12,9,2,flight N88,3,280,28000,16000
43,49,5,2,flight D32,3,140,14000,8000
44,10,8,6,flight R18,2,110,8000,2100
45,1,8,7,flight G88,3,280,28000,16000
46,17,9,5,flight L6,1,55,4000,140
47,41,9,8,flight W3,2,1000109,8000,2100
48,47,4,3,flight M3,3,140,14000,8000
49,34,7,3,flight B43,3,280,28000,16000
50,27,3,8,flight Q20,1,55,4000,140
51,16,3,1,flight N8,1,55,4000,140
52,16,7,6,flight Y85,1,55,4000,140
53,21,10,1,flight J56,3,140,14000,8000
54,22,1,10,flight F48,2,110,8000,2100
55,17,9,3,flight P72,1,110,8000,280
56,42,10,5,flight K5,1,110,8000,280
57,32,10,5,flight S64,3,140,14000,8000
58,11,8,2,flight A37,2,1000109,8000,2100
59,18,6,3,flight X89,2,1000219,16000,4200
60,4,10,9,flight I11,1,55,4000,140
61,3,10,7,flight N72,1,1000109,8000,280
62,34,5,2,flight T14,2,110,8000,2100
63,6,2,10,flight E46,1,110,8000,280
64,12,4,9,flight Q21,1,55,4000,140
65,16,10,9,flight L32,3,280,28000,16000
66,13,1,8,flight Q29,1,55,4000,140
67,7,5,6,flight W14,1,55,4000,140
68,12,4,6,flight V78,1,110,8000,280
69,4,7,1,flight K17,2,220,16000,4200
70,43,4,2,flight A4,3,140,14000,8000
71,15,6,7,flight M3,1,55,4000,140
72,45,10,7,flight L10,2,220,16000,4200
73,32,1,2,flight A91,2,220,16000,4200
74,9,9,2,flight N29,1,110,8000,280
75,9,9,1,flight K10,2,220,16000,4200
76,14,1,5,flight S98,2,220,16000,4200
77,2,3,8,flight X6,3,140,14000,8000
78,7,9,2,flight B60,3,280,28000,16000
79,27,3,2,flight D22,2,110,8000,2100
80,38,1,3,flight Y31,1,110,8000,280
81,39,2,6,flight Q40,3,140,14000,8000
82,39,2,1,flight J27,2,220,16000,4200
83,22,9,2,flight C47,3,140,14000,8000
84,16,1,2,flight R45,1,55,4000,140
85,30,7,2,flight G30,2,220,16000,4200
86,20,4,3,flight E54,2,110,8000,2100
87,22,5,7,flight E36,2,220,16000,4200
88,20,6,1,flight C94,3,280,28000,16000
89,12,6,3,flight L77,2,1000219,16000,4200
90,37,1,10,flight T50,1,55,4000,140
91,7,10,6,flight J82,3,1000279,28000,16000
92,11,8,7,flight H60,2,110,8000,2100
93,18,2,3,flight Q65,2,220,16000,4200
94,6,4,7,flight S78,1,110,8000,280
95,37,8,2,flight C17,3,140,14000,8000
96,48,2,3,flight P75,1,55,4000,140
97,4,4,2,flight P4,2,110,8000,2100
98,24,3,6,flight N34,2,220,16000,4200
99,28,2,5,flight O94,3,140,14000,8000
